travel_score,shopping_score,dining_score,fuel_score,groceries_score,income,preferred_bank,target_card
23,22,11,34,10,35000,IDFC First,First Classic Credit Card
26,13,23,33,5,75000,Yes Bank,YES First Business Credit Card
10,42,3,34,11,75000,Citibank,Cashback Credit Card
11,39,4,29,17,25000,Standard Chartered,Super Value Titanium Credit Card
6,35,33,20,5,120000,Citibank,Cashback Credit Card
39,24,0,7,30,120000,IDFC First,First Wealth Credit Card
7,30,30,13,20,75000,Kotak,PVR Platinum Credit Card
21,25,20,10,24,25000,Standard Chartered,Flipkart Axis Bank Credit Card
30,22,7,27,14,200000,Yes Bank,League Platinum Credit Card
29,4,33,10,24,75000,Standard Chartered,Super Value Titanium Credit Card
19,38,19,2,22,50000,Standard Chartered,League Platinum Credit Card
9,28,36,21,7,25000,ICICI,Coral Credit Card
32,34,4,15,15,120000,IDFC First,Vistara Infinite Credit Card
19,7,34,15,26,50000,IDFC First,Cashback Credit Card
19,16,21,14,29,120000,Citibank,Cashback Credit Card
27,17,16,28,12,120000,IDFC First,First Wealth Credit Card
10,1,43,28,18,35000,Citibank,Cashback Credit Card
34,22,13,20,11,120000,Citibank,Cashback Credit Card
7,0,17,8,69,35000,Citibank,Cashback Credit Card
24,30,10,9,27,120000,Standard Chartered,Super Value Titanium Credit Card
27,24,3,26,19,50000,ICICI,Amazon Pay Credit Card
24,22,33,10,11,200000,Axis,Ace Credit Card
23,5,26,14,32,200000,Yes Bank,Elite Credit Card
22,15,14,29,19,35000,Citibank,Cashback Credit Card
32,34,1,8,25,35000,Citibank,Cashback Credit Card
11,26,6,36,20,50000,HDFC,Tata Neu Infinity Credit Card
26,28,19,14,12,200000,Axis,Ace Credit Card
6,39,6,27,21,120000,ICICI,Super Value Titanium Credit Card
9,15,53,4,19,75000,Citibank,Cashback Credit Card
17,40,14,21,9,120000,IDFC First,First Wealth Credit Card
21,29,25,1,24,25000,Axis,Flipkart Axis Bank Credit Card
36,11,10,20,24,75000,Citibank,Millennia Credit Card
29,11,15,31,15,35000,RBL,BankBazaar Credit Card
59,17,9,2,12,75000,SBI,Elite Credit Card
10,13,6,64,6,35000,Standard Chartered,Super Value Titanium Credit Card
33,12,10,32,13,50000,IDFC First,Vistara Infinite Credit Card
32,10,28,20,10,35000,ICICI,Amazon Pay Credit Card
